"filename", "language", "Python", "TypeScript", "JSON", "JSON with Comments", "Markdown", "pip requirements", "Ini", "Shell Script", "PowerShell", "JavaScript", "YAML", "TypeScript JSX", "CSV", "XML", "HTML", "CSS", "comment", "blank", "total"
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\analyst.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\architect.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\dev.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\pm.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\quick-flow-solo-dev.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\sm.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\tea.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\tech-writer.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\agents\ux-designer.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\workflows\check-implementation-readiness.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\workflows\code-review.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\workflows\correct-course.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\workflows\create-architecture.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\workflows\create-epics-and-stories.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\workflows\create-excalidraw-dataflow.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"f:\Projets\Notion_Scrapper\DialogueGenerator\.cursor\commands\bmad\bmm\workflows\create-excalidraw-diagram.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
